Querier,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
6096,miss,8.906012,5.35124,1.733879,0,15.991131,0
7069,soft-hit,20.543298,7.997722,3.457648,31.998668000000002,0,true
7432,miss,9.113702,4.936432,1.82746,0,15.877594,0
29596,hit,0,5.961618,0,5.961618,0,0
35470,soft-hit,6.65396,3.223378,1.900544,11.777882,0,true
18648,soft-hit,6.376344,3.094947,1.849393,11.320684,0,true
25357,miss,8.492869,3.770981,2.047834,0,14.311684,0
32888,hit,0,6.92057,0,6.92057,0,0
30696,miss,9.584996,4.916239,2.350014,0,16.851249,0
5704,miss,7.050151,5.070661,1.773814,0,13.894625999999999,0
16920,hit,0,4.401274,0,4.401274,0,0
24200,hit,0,4.966861,0,4.966861,0,0
3680,miss,10.802935,69.336316,2.2625,0,82.401751,0
5692,soft-hit,10.628223,15.061583,1.96915,27.658956000000003,0,true
33728,hit,0,5.417241,0,5.417241,0,0
33418,hit,0,6.226553,0,6.226553,0,0
16071,miss,11.053772,4.763424,2.150334,0,17.96753,0
33971,miss,7.912365,6.177973,1.803483,0,15.893820999999999,0
7880,soft-hit,10.812267,6.307462,2.215216,19.334944999999998,0,true
20532,miss,14.769158,7.067833,2.776838,0,24.613829,0
19421,miss,7.931845,4.644173,1.784486,0,14.360504,0
3980,hit,0,4.958591,0,4.958591,0,0
30250,miss,8.28676,5.67144,1.804801,0,15.763001,0
299,miss,8.75014,7.438416,1.979295,0,18.167851,0
3680,soft-hit,8.83478,68.162222,2.070573,79.06757499999999,0,true
1455,hit,0,5.563754,0,5.563754,0,0
26648,miss,21.476918,17.74107,3.624532,0,42.84252,0
27323,soft-hit,8.257185,29.140295,2.093046,39.490526,0,true
17621,hit,0,4.354552,0,4.354552,0,0
29864,soft-hit,8.620748,4.815413,3.276607,16.712768,0,true
11595,miss,11.808587,7.632399,3.568249,0,23.009235,0
29540,hit,0,4.413193,0,4.413193,0,0
20718,miss,7.903385,5.847941,2.117646,0,15.868972,0
21475,miss,7.023241,3.982878,1.862823,0,12.868942,0
3718,miss,8.582757,3.985538,2.191388,0,14.759683,0
34772,miss,6.223683,3.534154,1.826327,0,11.584164000000001,0
25223,soft-hit,6.207938,3.508668,1.775776,11.492382000000001,0,true
18654,miss,21.739791,5.028557,5.4086,0,32.176947999999996,0
5131,miss,10.486339,5.405194,2.601245,0,18.492778,0
28490,miss,9.827744,5.096789,2.684776,0,17.609309,0
9163,soft-hit,6.69153,5.087355,1.995159,13.774044,0,true
5394,miss,6.25787,4.381831,1.864608,0,12.504309,0
18648,hit,0,4.179703,0,4.179703,0,0
16607,hit,0,6.272762,0,6.272762,0,0
35470,soft-hit,8.566228,4.918767,2.25431,15.739305,0,false
30077,miss,8.234426,4.269274,2.34837,0,14.85207,0
428,miss,10.274791,4.124962,2.654095,0,17.053848000000002,0
5704,hit,0,4.731871,0,4.731871,0,0
14525,miss,13.188414,6.681151,4.908554,0,24.778118999999997,0
4889,miss,9.974847,10.594573,3.759292,0,24.328712000000003,0
35470,hit,0,4.564357,0,4.564357,0,0
