1987,215,209,37,1322
1989,206,158,36,1269
1995,254,187,50,1568
2005,149,111,26,918
2018,203,164,40,1255
2022,154,122,28,950
2023,199,1029,37,1229
2026,239,459,15,1448
2033,198,205,20,1205
2037,197,179,42,1218
2039,359,408,6,2148
2041,133,273,7,800
2045,143,105,10,868
2050,212,217,41,1311
2055,174,187,36,1076
2060,236,281,46,1457
2063,128,97,7,769
2064,177,366,19,1079
2065,140,424,26,865
2071,201,385,38,1238
2080,120,102,8,725
2082,181,459,38,1119
2085,235,1458,43,1451
2087,196,2444,31,1204
2102,117,366,7,701
2108,197,335,26,1201
2112,197,1154,32,1210
2116,233,975,46,1443
2124,188,489,31,1154
2126,288,311,29,1750
2130,224,315,10,1354
2133,216,510,45,1335
2134,228,304,45,1411
2136,158,346,13,960
2140,140,307,7,843
2148,143,938,20,876
2163,176,1115,37,1090
2168,202,281,30,1241
2177,208,242,9,1253
2184,196,240,39,1213
2201,219,254,43,1352
2216,248,442,12,1498
2227,177,693,32,1090
2228,203,423,40,1253
2233,200,178,42,1237
2237,172,198,28,1058
2239,276,368,55,1704
2250,281,255,53,1730
2269,166,178,27,1021
2278,199,564,33,1224
2282,252,307,35,1545
2305,183,157,38,1133
2306,230,537,14,1390
2312,172,158,18,1047
2344,154,125,8,929
2351,252,533,10,1519
2371,202,430,42,1248
2383,182,229,30,1121
2385,183,155,30,1127
2397,109,128,6,657
2419,168,180,35,1040
2422,124,471,23,764
2427,126,136,24,779
2450,208,207,20,1264
2469,213,233,33,1309
2471,233,527,28,1422
2474,240,853,17,1456
2482,191,980,22,1158
2488,197,275,31,1208
2498,209,232,41,1292
2518,209,180,46,1293
2539,208,188,45,1288
2543,206,390,42,1273
2546,196,389,40,1209
2550,221,188,9,1335
2561,192,166,40,1189
2565,126,102,27,778
2569,191,196,23,1168
2574,156,135,28,961
2585,224,272,20,1359
2591,196,163,22,1193
2595,229,551,47,1417
2608,229,200,50,1415
2612,178,156,13,1074
2613,169,145,37,1047
2640,111,98,21,687
2641,192,299,38,1184
2647,188,205,31,1155
2673,151,139,29,933
2692,122,120,24,754
2702,183,141,13,1108
2708,149,229,29,921
2730,174,289,36,1079
2737,171,405,30,1052
2738,202,387,39,1246
2743,230,331,21,1397
2748,244,492,43,1505
2751,211,280,42,1307
2753,174,287,36,1076
2780,184,253,8,1109
2791,187,204,20,1139
2802,232,296,44,1434
2811,233,530,46,1442
2812,150,188,31,926
2819,219,206,46,1359
2833,182,184,40,1124
2834,151,134,31,931
2836,188,178,41,1165
2842,147,139,27,906
2847,219,341,47,1359
2848,162,147,34,1003
2852,189,184,41,1172
2857,205,198,38,1266
2862,196,190,41,1214
2890,205,302,16,1245
2905,164,145,33,1014
2917,189,202,29,1159
2918,243,217,30,1484
2921,189,232,17,1150
2922,217,163,14,1312
2925,192,347,13,1162
2929,190,3279,37,1169
2932,264,2178,35,1618
2939,177,291,29,1089
2940,164,611,16,995
2963,235,819,45,1450
2991,172,659,38,1067
3004,173,161,17,1050
3006,260,268,52,1605
3007,177,481,30,1088
3008,174,405,38,1079
3026,180,662,29,1105
3027,196,1267,32,1203
3031,202,212,12,1221
3038,182,254,34,1120
3055,185,246,35,1140
3058,282,418,54,1739
3061,217,192,41,1338
3069,208,203,39,1280
3073,168,151,33,1040
3079,180,216,35,1114
3081,201,151,36,1238
3082,243,232,44,1498
3087,233,233,44,1436
3091,224,263,35,1374
3100,167,201,35,1033
3104,159,234,19,968
3122,190,481,35,1174
3128,167,280,32,1032
3131,214,345,13,1294
3134,151,137,33,933
3141,152,134,29,935
3142,173,148,27,1061
3143,180,283,36,1112
3145,184,165,32,1133
3165,289,259,54,1782
3173,187,332,38,1154
3177,191,234,12,1156
3192,199,202,40,1228
3196,205,468,39,1266
3206,233,2510,40,1432
3212,173,362,31,1066
3213,218,453,43,1345
3214,138,252,21,846
3215,269,265,49,1659
3233,191,410,21,1159
3243,239,546,19,1448
3249,198,848,38,1222
3260,192,174,8,1158
3270,187,282,37,1157
3272,129,284,28,794
3275,185,189,23,1126
3282,178,167,12,1076
3285,187,277,39,1160
3314,167,156,31,1030
3328,177,527,30,1089
3340,249,246,38,1526
3341,201,200,37,1240
3348,174,431,30,1071
3349,197,170,39,1219
3354,205,173,38,1266
3364,171,487,19,1039
3377,195,350,23,1190
3378,189,176,36,1163
3386,209,292,23,1271
3387,157,157,30,971
3391,240,213,46,1481
3405,164,521,31,1011
3430,142,139,31,876
3457,264,427,21,1599
3459,174,245,32,1073
3465,214,337,16,1297
3473,166,390,23,1018
3476,220,572,22,1333
3487,181,239,39,1116
3492,183,197,36,1132
3495,125,122,25,771
3496,174,217,32,1072
3514,183,205,36,1130
3524,180,149,37,1114
3540,216,403,29,1321
3549,210,398,35,1292
3589,141,118,8,852
3619,187,183,38,1156
3621,185,205,36,1140
3632,171,134,35,1059
3642,161,155,23,987
3646,152,141,31,941
3652,164,517,36,1016
3672,174,157,32,1072
3680,155,132,15,943
3699,196,203,30,1203
3718,149,290,33,922
3722,112,111,8,680
3736,167,1528,8,1007
3740,165,364,29,1012
3745,227,905,30,1387
3756,241,665,20,1458
3765,173,247,34,1070
3769,175,362,29,1076
3778,173,1341,34,1069
3784,198,1125,35,1218
3792,144,282,31,891
3796,141,164,32,870
3798,127,99,7,766
3811,213,233,9,1279
3815,146,148,32,901
3822,222,187,34,1362
3826,186,172,36,1149
3830,176,136,37,1089
3832,203,690,23,1237
3838,188,146,18,1143
3839,165,151,35,1018
3848,153,119,17,930
3854,187,188,37,1156
3882,166,122,35,1023
3898,202,140,18,1224
3899,151,108,30,931
3901,176,133,36,1089
3911,160,102,30,988
3914,226,187,45,1398
3918,210,281,13,1271
3921,209,167,42,1291
3929,202,133,38,1248
3933,183,123,37,1129
3949,249,205,47,1536
3967,225,174,39,1388
3970,177,124,26,1086
3971,197,156,27,1208
3980,225,228,35,1383
3981,150,122,19,911
3990,265,219,47,1636
3991,188,159,39,1160
3996,178,129,25,1088
3998,259,208,46,1599
4019,184,150,33,1134
4032,149,195,34,923
4039,184,138,34,1133
4040,169,125,37,1047
4041,262,258,46,1618
4042,139,98,29,857
4051,150,123,30,927
4052,253,194,46,1561
4066,250,186,45,1542
4077,269,244,46,1657
4079,218,159,43,1346
4082,124,84,24,766
4095,151,109,27,931
4111,215,160,44,1328
4116,201,143,31,1236
4123,218,162,41,1344
4141,190,176,34,1170
4153,217,169,42,1339
4167,166,117,24,1018
4170,139,103,27,859
4174,182,258,28,1119
4178,127,94,11,770
4184,187,135,30,1148
4185,188,156,35,1159
4193,200,132,40,1236
4211,188,151,29,1153
4213,143,104,26,884
4229,110,82,27,680
4250,191,143,32,1174
4255,166,115,9,1004
4269,182,286,37,1124
4289,227,174,43,1402
4292,247,205,41,1521
4305,207,144,17,1254
4319,261,191,47,1609
4323,215,156,43,1327
4329,229,190,48,1416
4331,146,114,24,895
4337,31,23,2,187
4341,186,136,41,1152
4342,199,178,38,1228
4355,264,207,20,1595
4368,199,161,40,1227
4375,217,175,40,1337
4388,233,177,48,1439
4391,151,126,35,937
4397,185,135,41,1146
4404,195,135,17,1180
4414,196,153,40,1211
4415,210,163,11,1267
4418,229,263,22,1393
4429,164,122,33,1015
4433,164,113,32,1010
4435,255,200,22,1549
4452,154,107,35,956
4460,163,119,36,1009
4465,229,175,44,1413
4468,141,100,28,872
4477,254,194,49,1567
4480,235,171,43,1447
4485,200,189,20,1217
4494,240,195,45,1479
4495,195,161,42,1206
4501,158,120,34,978
4508,192,135,9,1155
