Querier,Cache log,Generation Time,Mergeability Time,Execution Time
Querier,Cache log,Generation Time,Mergeability Time,Execution Time
Querier,Cache log,Generation Time,Mergeability Time,Execution Time
33971,updation,4.032592,0.02004,7.389174
26555,hit,0,0,150.918028
30088,miss,40.073652,0,16.463436
19719,miss,43.459503,0,61.13513
27302,miss,51.239177,0,20.471835
1085,miss,41.710885,0,141.172364
6318,miss,30.029748,0,55.252868
364,miss,38.578259,0,8.867291
26171,miss,39.124096,0,22.980149
16142,miss,43.171529,0,113.452443
25223,miss,37.405847,0,25.642673
21345,miss,37.75897,0,78.969456
22335,updation,3.549667,0.012706,4.991689
33728,updation,3.104213,0.020657,8.126152
19421,miss,42.112681,0,12.754227
32083,miss,49.663057,0,9.047989
2108,miss,31.704139,0,4.813962
13073,miss,42.586621,0,5.307231
11315,updation,10.154258,0.077732,97.637459
13024,updation,1.105497,0.006143,6.597601
2427,updation,6.405334,0.03394,10.372946
15230,miss,33.523112,0,7.572355
29864,updation,12.644672,0.016522,80.920705
3980,miss,39.601818,0,4.887634
26371,updation,6.27063,0.059516,56.783599
26710,miss,50.639807,0,12.962289
2561,miss,53.74003,0,6.636055
29260,miss,45.971707,0,69.571553
10287,miss,42.849129,0,13.155153
7208,miss,35.318972,0,86.125019
16142,updation,0.679134,0.01431,102.994833
17956,miss,38.789764,0,15.300182
24802,miss,51.632875,0,51.498203
26648,miss,40.094642,0,4.120905
13819,miss,36.829196,0,38.110613
35836,miss,58.861716,0,63.888284
5131,miss,45.383625,0,15.468076
13708,miss,43.512176,0,11.222879
4465,miss,44.179336,0,4.016807
8071,miss,40.979129,0,9.134104
16377,miss,41.386819,0,3.85263
29936,miss,90.548675,0,12.687883
16607,updation,13.075881,0.020888,34.33604
7366,hit,0,0,5.431313
9189,miss,47.056223,0,111.847715
23969,miss,45.608665,0,814.1259
5654,miss,51.185014,0,26.10877
1704,updation,4.824753,0.014419,33.384177
25113,updation,5.440433,0.031026,33.247107
15230,updation,0.643963,0.004604,7.240301
32818,miss,47.505034,0,58.548485
32913,miss,39.259443,0,7.957668
3680,updation,1.597641,0.009813,8.297202
14811,updation,3.069864,0.011804,186.053204
10054,updation,8.031451,0.089309,31.345026
15538,updation,13.083805,0.05486,20.326163
1267,miss,66.551045,0,101.711058
7069,miss,50.355911,0,45.798118
23371,miss,44.653542,0,9.488659
18654,miss,101.694586,0,32.61019
35244,miss,54.894297,0,85.540502
32774,updation,4.991463,0.010541,7.943465
1267,hit,0,0,9.335155
6650,miss,55.225932,0,19.89646
7802,updation,5.293489,0.025062,104.609354
13024,regenerate,43.704321,0.010417,6.243487
13797,updation,8.996411,0.040815,40.802299
29596,updation,7.487799,0.03468,6.097779
23969,hit,0,0,763.659312
9868,updation,7.997182,0.039626,62.585572
2124,miss,49.156301,0,28.58523
29372,miss,54.948754,0,123.423757
7069,updation,1.144498,0.026661,35.446848
19368,updation,3.061042,0.008208,23.972568
30736,miss,59.016889,0,115.168779
32083,updation,4.182068,0.057665,9.379336
13353,miss,42.562678,0,6.086929
7208,updation,3.042867,0.008481,60.01069
21475,updation,8.652212,0.036829,40.152814
18784,updation,9.035517,0.088962,10.807921
5352,miss,67.341312,0,91.738182
19684,updation,6.577249,0.013616,131.483141
